λ,n,p,MAE,MSE,Max Error,Chất lượng xấp xỉ
1,5,0.2000,0.020761,0.00066355,0.041721,Khá
1,10,0.1000,0.009696,0.00014687,0.019541,Tốt
1,20,0.0500,0.004693,0.00003469,0.009474,Tốt
1,50,0.0200,0.001842,0.00000537,0.003722,Tốt
3,5,0.6000,0.036508,0.00279757,0.121558,Khá
3,10,0.3000,0.014396,0.00038462,0.042786,Khá
3,20,0.1500,0.006695,0.00007792,0.018787,Tốt
3,50,0.0600,0.002567,0.00001118,0.007015,Tốt
5,5,1.0000,0.091614,0.04316103,0.824533,Trung bình
5,10,0.5000,0.019092,0.00076612,0.070626,Khá
5,20,0.2500,0.007936,0.00012259,0.026864,Tốt
5,50,0.1000,0.002884,0.00001593,0.009457,Tốt
7,5,1.4000,nan,nan,nan,Trung bình
7,10,0.7000,0.024308,0.00159398,0.117825,Khá
7,20,0.3500,0.008586,0.00017622,0.035398,Tốt
7,50,0.1400,0.003024,0.00002047,0.011627,Tốt
